LeadRO Name,Count,%,Cum%,,,,,
UK CENTRE FOR ECOLOGY & HYDROLOGY,11,0.12%,96.52%,,,,,
National Inst of Agricultural Botany,11,0.12%,96.64%,,,,,
Diamond Light Source,10,0.11%,96.75%,,,,,
Babraham Institute,10,0.11%,96.86%,,,,,
MRC Laboratory of Molecular Biology,9,0.10%,96.96%,,,,,
Oxford Brookes University,9,0.10%,97.06%,,,,,
Health Data Research UK (HDR UK),9,0.10%,97.16%,,,,,
THE PIRBRIGHT INSTITUTE,8,0.09%,97.25%,,,,,
University of the West of England,8,0.09%,97.34%,,,,,
Liverpool John Moores University,8,0.09%,97.43%,,,,,
Birmingham City University,8,0.09%,97.52%,,,,,
Edinburgh Napier University,8,0.09%,97.61%,,,,,
JAGUAR LAND ROVER LIMITED,7,0.08%,97.69%,,,,,
Liverpool School of Tropical Medicine,7,0.08%,97.76%,,,,,
University of Hertfordshire,7,0.08%,97.84%,,,,,
Science Museum Group,7,0.08%,97.92%,,,,,
Manchester Metropolitan University,7,0.08%,98.00%,,,,,
University of Greenwich,7,0.08%,98.08%,,,,,
Keele University,7,0.08%,98.15%,,,,,
Bournemouth University,7,0.08%,98.23%,,,,,
Aston University,6,0.07%,98.30%,,,,,
University of Bradford,6,0.07%,98.36%,,,,,
The National Gallery,6,0.07%,98.43%,,,,,
The Natural History Museum,6,0.07%,98.50%,,,,,
Wellcome Trust Sanger Institute,5,0.06%,98.55%,,,,,
The Francis Crick Institute,5,0.06%,98.61%,,,,,
SRUC,5,0.06%,98.66%,,,,,
Royal Veterinary College,5,0.06%,98.72%,,,,,
Northumbria University,4,0.04%,98.77%,,,,,
H R Wallingford Ltd,4,0.04%,98.81%,,,,,
University of Ulster,4,0.04%,98.85%,,,,,
The Robert Gordon University,4,0.04%,98.90%,,,,,
The National Archives,4,0.04%,98.94%,,,,,
Institute of Cancer Research,4,0.04%,98.99%,,,,,
Fera Science Limited,3,0.03%,99.02%,,,,,
CCFE/UKAEA,3,0.03%,99.05%,,,,,
Bangor University,3,0.03%,99.09%,,,,,
University of Lincoln,3,0.03%,99.12%,,,,,
MRC Human Genome Mapping Project,3,0.03%,99.15%,,,,,
National Institute of Economic & Soc Res,3,0.03%,99.19%,,,,,
University of Central Lancashire,3,0.03%,99.22%,,,,,
The Wellcome Trust Ltd,3,0.03%,99.25%,,,,,
University Hospitals Birmingham NHS FT,3,0.03%,99.29%,,,,,
MRC Centre Cambridge,3,0.03%,99.32%,,,,,
EAST MALLING RESEARCH,3,0.03%,99.35%,,,,,
Institute of Development Studies,2,0.02%,99.38%,,,,,
University of Stirling,2,0.02%,99.40%,,,,,
University of Passau,2,0.02%,99.42%,,,,,
Teesside University,2,0.02%,99.44%,,,,,
Institute of Education,2,0.02%,99.47%,,,,,
London South Bank University,2,0.02%,99.49%,,,,,
The Rosalind Franklin Institute,2,0.02%,99.51%,,,,,
Then Try This,2,0.02%,99.53%,,,,,
Middlesex University,2,0.02%,99.55%,,,,,
British Library,1,0.01%,99.57%,,,,,
Cambridge Crystallographic Data Centre,1,0.01%,99.58%,,,,,
Basque Centre for Climate Change bc3,1,0.01%,99.59%,,,,,
Abertay University,1,0.01%,99.60%,,,,,
Armagh Observatory and Planetarium,1,0.01%,99.61%,,,,,
Anglia Ruskin University,1,0.01%,99.62%,,,,,
Bath Spa University,1,0.01%,99.63%,,,,,
Duke Kunshan University,1,0.01%,99.64%,,,,,
Human Sciences Research Council,1,0.01%,99.66%,,,,,
Howard Miller Design Ltd,1,0.01%,99.67%,,,,,
Guildhall School of Music and Drama,1,0.01%,99.68%,,,,,
Harvard University,1,0.01%,99.69%,,,,,
Falmouth University,1,0.01%,99.70%,,,,,
Fiocruz (Oswaldo Cruz Foundation),1,0.01%,99.71%,,,,,
Cardiff Metropolitan University,1,0.01%,99.72%,,,,,
THE JAMES HUTTON INSTITUTE,1,0.01%,99.73%,,,,,
Techniquest,1,0.01%,99.74%,,,,,
Obafemi Awolowo University,1,0.01%,99.76%,,,,,
MRC Social and Public Health Sciences,1,0.01%,99.77%,,,,,
MRC Human Genetics Unit,1,0.01%,99.78%,,,,,
Museum of London Archaeology,1,0.01%,99.79%,,,,,
McMaster University,1,0.01%,99.80%,,,,,
Marine Biological Association,1,0.01%,99.81%,,,,,
NERC National Ctr for Atmospheric Sci,1,0.01%,99.82%,,,,,
Institute for Financial Management & Res,1,0.01%,99.83%,,,,,
ICDDRB,1,0.01%,99.84%,,,,,
Scottish Association For Marine Science,1,0.01%,99.86%,,,,,
Sheffield Hallam University,1,0.01%,99.87%,,,,,
Royal College of Art,1,0.01%,99.88%,,,,,
Royal Conservatoire of Scotland,1,0.01%,99.89%,,,,,
Royal College of Music,1,0.01%,99.90%,,,,,0.236686390532544
Royal Botanic Gardens Kew,1,0.01%,99.91%,,,,,
Research Complex at Harwell,1,0.01%,99.92%,,,,,
UNIVERSITY OF SOUTH WALES,1,0.01%,99.93%,,,,,
University of Chester,1,0.01%,99.94%,,,,,
University of Glamorgan,1,0.01%,99.96%,,,,,
University of the Arts London,1,0.01%,99.97%,,,,,
University of Westminster,1,0.01%,99.98%,,,,,
Wrexham University,1,0.01%,99.99%,,,,,
Zoological Soc London Inst of Zoology,1,0.01%,100.00%,,,,,
,8988,100.00%,200.00%,,,,,
,53.1834319526627,,,,,,,
